test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
BUN,bayesian,4,4,cv,1.1465502849939162,1.0818980030550556,1.2150660712077628,22904
CA,bayesian,4,4,mu,0.8662536898299923,0.82590726147387,0.908571083156432,26859
CA,bayesian,4,4,cv,1.3148450296416487,1.2490123402771929,1.384147615058529,26859
CHOL,bayesian,4,4,mu,0.670534282116588,0.624665575183973,0.7197710924940751,11421
CHOL,bayesian,4,4,cv,1.2261951244503726,1.151590692671163,1.305632715507892,11421
CL,bayesian,4,4,mu,0.8959477616793025,0.8566597351428741,0.9370376109999774,27159
CL,bayesian,4,4,cv,1.374269979268136,1.3060866527931017,1.4460127678962054,27159
CO2,bayesian,4,4,mu,0.8545905949500142,0.8172278555478197,0.8936615168207327,27899
CO2,bayesian,4,4,cv,1.322579919926289,1.260932534690225,1.3872412650705073,27899
CRE,bayesian,4,4,mu,0.9995299620818447,0.9341191291470944,1.0695211284362998,24692
CRE,bayesian,4,4,cv,1.405363376385417,1.339379287035449,1.474598150653009,24692
FER,bayesian,4,4,mu,1.061088694143982,0.8985438717020546,1.2530375558707476,1348
FER,bayesian,4,4,cv,1.4296630470411542,1.2316399281276091,1.6595243312566814,1348
GLU,bayesian,4,4,mu,1.1721133606658931,1.1147603801493156,1.2324170778902956,23742
GLU,bayesian,4,4,cv,1.2777075241216227,1.2170261448741178,1.3414144996579898,23742
HB,bayesian,4,4,mu,0.7382230823537419,0.6813697378252184,0.799820257734507,17945
HB,bayesian,4,4,cv,1.5388127017619508,1.4568093739799357,1.625431970302882,17945
HCT,bayesian,4,4,mu,0.7981009322307457,0.7431705785306366,0.8570913817484057,17591
HCT,bayesian,4,4,cv,1.5021925415495498,1.421246352672275,1.5877489695183344,17591
HDL,bayesian,4,4,mu,0.9710022222245042,0.876274457061445,1.0759703286647466,9684
HDL,bayesian,4,4,cv,1.3727386350156696,1.2635139190126312,1.4914053036608026,9684
HSCRP,bayesian,4,4,mu,1.5659664234488844,1.3410296762937974,1.8286327906974993,2153
HSCRP,bayesian,4,4,cv,1.7306952934580333,1.4428611528809092,2.075949021717833,2153
IGAP,bayesian,4,4,mu,1.205631357249887,1.155303108404573,1.2581520459955258,28427
IGAP,bayesian,4,4,cv,0.9453550591241076,0.9048754297899498,0.9876455458835922,28427
K,bayesian,4,4,mu,1.2056040168548716,1.1535210481173084,1.2600385990605596,27500
K,bayesian,4,4,cv,1.1622067710800548,1.1094757051573807,1.2174440345701167,27500
LD,bayesian,4,4,mu,1.2148851052673528,0.946347120342544,1.559624145594935,675
LD,bayesian,4,4,cv,1.1985717672839913,0.9598875907742374,1.4966067851461038,675
LYMPH,bayesian,4,4,mu,0.8818938863831829,0.8182618723196043,0.9504742346546222,10999
LYMPH,bayesian,4,4,cv,1.4595081634867766,1.3771799703591192,1.5467579583872926,10999
MCH,bayesian,4,4,mu,0.9700497093357294,0.9195473099463652,1.023325747793465,18117
MCH,bayesian,4,4,cv,1.4252151615572664,1.3633260651205077,1.489913754823692,18117
MCHC,bayesian,4,4,mu,0.7444167110199125,0.6994300464862183,0.7922968743331261,18102
MCHC,bayesian,4,4,cv,1.3098236576272242,1.2421030176588008,1.3812364914093114,18102
MCV,bayesian,4,4,mu,1.1178103305223004,1.0568874961767063,1.182244978337282,18235
MCV,bayesian,4,4,cv,1.3956914500540585,1.3335761966862905,1.460699904958063,18235
